snapshot_date,file_path,linus_lines,total_lines
07-02-2026,arch/arm/lib/div64.S,200,200
07-02-2026,arch/arm/lib/ecard.S,45,45
07-02-2026,arch/arm/lib/findbit.S,168,168
07-02-2026,arch/arm/lib/floppydma.S,32,32
07-02-2026,arch/arm/lib/gcclib.h,25,25
07-02-2026,arch/arm/lib/getuser.S,78,78
07-02-2026,arch/arm/lib/io-acorn.S,32,32
07-02-2026,arch/arm/lib/io-readsb.S,122,122
07-02-2026,arch/arm/lib/io-readsl.S,78,78
07-02-2026,arch/arm/lib/io-readsw-armv3.S,107,107
07-02-2026,arch/arm/lib/io-readsw-armv4.S,130,130
07-02-2026,arch/arm/lib/io-shark.c,83,83
07-02-2026,arch/arm/lib/io-writesb.S,92,92
07-02-2026,arch/arm/lib/io-writesl.S,66,66
07-02-2026,arch/arm/lib/io-writesw-armv3.S,127,127
07-02-2026,arch/arm/lib/io-writesw-armv4.S,92,95
07-02-2026,arch/arm/lib/lib1funcs.S,314,314
07-02-2026,arch/arm/lib/longlong.h,183,183
07-02-2026,arch/arm/lib/lshrdi3.c,61,61
07-02-2026,arch/arm/lib/memchr.S,25,25
07-02-2026,arch/arm/lib/memcpy.S,393,393
07-02-2026,arch/arm/lib/memset.S,80,80
07-02-2026,arch/arm/lib/memzero.S,80,80
07-02-2026,arch/arm/lib/muldi3.c,77,77
07-02-2026,arch/arm/lib/putuser.S,76,76
07-02-2026,arch/arm/lib/setbit.S,20,22
07-02-2026,arch/arm/lib/strchr.S,26,26
07-02-2026,arch/arm/lib/strncpy_from_user.S,43,43
07-02-2026,arch/arm/lib/strnlen_user.S,40,40
07-02-2026,arch/arm/lib/strrchr.S,25,25
07-02-2026,arch/arm/lib/testchangebit.S,16,18
07-02-2026,arch/arm/lib/testclearbit.S,16,18
07-02-2026,arch/arm/lib/testsetbit.S,16,18
07-02-2026,arch/arm/lib/uaccess.S,697,697
07-02-2026,arch/arm/lib/ucmpdi2.c,51,51
07-02-2026,arch/arm/lib/udivdi3.c,242,242
07-02-2026,arch/arm/mach-clps711x/Kconfig,71,74
07-02-2026,arch/arm/mach-clps711x/Makefile,20,20
07-02-2026,arch/arm/mach-clps711x/Makefile.boot,7,7
07-02-2026,arch/arm/mach-clps711x/autcpu12.c,69,69
07-02-2026,arch/arm/mach-clps711x/cdb89712.c,58,58
07-02-2026,arch/arm/mach-clps711x/ceiva.c,62,62
07-02-2026,arch/arm/mach-clps711x/clep7312.c,48,48
