snapshot_date,file_path,linus_lines,total_lines
28-01-2018,arch/alpha/kernel/sys_eb64p.c,219,238
28-01-2018,arch/alpha/kernel/sys_eiger.c,202,226
28-01-2018,arch/alpha/kernel/sys_jensen.c,213,238
28-01-2018,arch/alpha/kernel/sys_marvel.c,414,471
28-01-2018,arch/alpha/kernel/sys_miata.c,278,293
28-01-2018,arch/alpha/kernel/sys_mikasa.c,226,248
28-01-2018,arch/alpha/kernel/sys_nautilus.c,254,310
28-01-2018,arch/alpha/kernel/sys_noritake.c,311,337
28-01-2018,arch/alpha/kernel/sys_rawhide.c,237,272
28-01-2018,arch/alpha/kernel/sys_ruffian.c,228,240
28-01-2018,arch/alpha/kernel/sys_rx164.c,185,203
28-01-2018,arch/alpha/kernel/sys_sable.c,603,636
28-01-2018,arch/alpha/kernel/sys_sio.c,412,485
28-01-2018,arch/alpha/kernel/sys_sx164.c,173,179
28-01-2018,arch/alpha/kernel/sys_takara.c,254,289
28-01-2018,arch/alpha/kernel/sys_titan.c,360,420
28-01-2018,arch/alpha/kernel/sys_wildfire.c,314,350
28-01-2018,arch/alpha/kernel/systbls.S,428,552
28-01-2018,arch/alpha/kernel/time.c,239,460
28-01-2018,arch/alpha/kernel/traps.c,935,1028
28-01-2018,arch/alpha/kernel/vmlinux.lds.S,13,79
28-01-2018,arch/alpha/lib/Makefile,38,62
28-01-2018,arch/alpha/lib/callback_srm.S,103,109
28-01-2018,arch/alpha/lib/checksum.c,161,184
28-01-2018,arch/alpha/lib/clear_page.S,38,41
28-01-2018,arch/alpha/lib/clear_user.S,74,102
28-01-2018,arch/alpha/lib/copy_page.S,48,51
28-01-2018,arch/alpha/lib/copy_user.S,82,121
28-01-2018,arch/alpha/lib/csum_ipv6_magic.S,78,118
28-01-2018,arch/alpha/lib/csum_partial_copy.c,356,385
28-01-2018,arch/alpha/lib/dbg_current.S,29,30
28-01-2018,arch/alpha/lib/dbg_stackcheck.S,25,28
28-01-2018,arch/alpha/lib/dbg_stackkill.S,33,36
28-01-2018,arch/alpha/lib/dec_and_lock.c,39,44
28-01-2018,arch/alpha/lib/divide.S,195,199
28-01-2018,arch/alpha/lib/ev6-clear_page.S,53,56
28-01-2018,arch/alpha/lib/ev6-clear_user.S,176,213
28-01-2018,arch/alpha/lib/ev6-copy_page.S,202,205
